"life_stage","Species","Habitat","mean_wi","ID","se_wi","ci_lower","ci_upper"
"recruits","amboinensis","Pavement",0.845283018867924,7,0.176565187643593,0.36248868098691,1.32807735674894
"recruits","amboinensis","Sand",1.58490566037736,7,0.609310672887068,-0.0811744248665656,3.25098574562128
"recruits","amboinensis","Algae",0,7,0,0,0
"recruits","amboinensis","Soft.cor",0.968553459119497,7,0.259964451103336,0.257714778414305,1.67939213982469
"recruits","amboinensis","Cbranching",0,7,0,0,0
"recruits","amboinensis","Fbranching",1.9811320754717,7,0.601700785144517,0.335860229740025,3.62640392120337
"recruits","amboinensis","Mcoral",2.31132075471698,7,0.813864640087148,0.0859146863996263,4.53672682303434
"recruits","amboinensis","Rubble",0.406386066763425,7,0.195374967590298,-0.127841146285416,0.940613279812267
"recruits","chrysurus","Pavement",0.973913043478261,8,0.160544810913757,0.534924323675813,1.41290176328071
"recruits","chrysurus","Sand",1.82608695652174,8,0.567611622407148,0.27402745333818,3.3781464597053
"recruits","chrysurus","Algae",2.02898550724638,8,1.41376362392303,-1.83676561754478,5.89473663203754
"recruits","chrysurus","Soft.cor",0.135265700483092,8,0.0942509082615353,-0.122451041169652,0.392982442135836
"recruits","chrysurus","Cbranching",0,8,0,0,0
"recruits","chrysurus","Fbranching",0.33816425120773,8,0.235627270653838,-0.306127602924131,0.98245610533959
"recruits","chrysurus","Mcoral",0.507246376811594,8,0.353440905980758,-0.459191404386196,1.47368415800938
"recruits","chrysurus","Rubble",2.1850613154961,8,0.318311255549847,1.31468095391841,3.05544167707379
"recruits","moluccensis","Pavement",0.105660377358491,9,0.0732899310003916,-0.0947413223361506,0.306062077053132
"recruits","moluccensis","Sand",0,9,0,0,0
"recruits","moluccensis","Algae",1.32075471698113,9,1.30823543237945,-2.25644341475397,4.89795284871623
"recruits","moluccensis","Soft.cor",0.440251572327044,9,0.187369370374466,-0.072085385577271,0.952588530231359
"recruits","moluccensis","Cbranching",1.32075471698113,9,1.30823543237945,-2.25644341475397,4.89795284871623
"recruits","moluccensis","Fbranching",9.0251572327044,9,0.670680279440091,7.19127001086007,10.8590444545487
"recruits","moluccensis","Mcoral",0.660377358490566,9,0.458062068752448,-0.592133264600941,1.91288798158207
"recruits","moluccensis","Rubble",0.101596516690856,9,0.100633494798419,-0.17357257036569,0.376765603747402
